Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Fri, Mar 22, 2019",Denver Nuggets,111,New York Knicks,93,"19,290"
"Fri, Mar 22, 2019",Oklahoma City Thunder,116,Toronto Raptors,109,"20,014"
"Fri, Mar 22, 2019",San Antonio Spurs,105,Houston Rockets,111,"18,055"
"Fri, Mar 22, 2019",Miami Heat,87,Milwaukee Bucks,116,"18,094"
"Fri, Mar 22, 2019",Brooklyn Nets,111,Los Angeles Lakers,106,"18,997"
"Sat, Mar 23, 2019",Boston Celtics,117,Charlotte Hornets,124,"19,438"
"Sat, Mar 23, 2019",Miami Heat,113,Washington Wizards,108,"20,409"
"Sat, Mar 23, 2019",Philadelphia 76ers,127,Atlanta Hawks,129,"16,640"
"Sat, Mar 23, 2019",Utah Jazz,114,Chicago Bulls,83,"20,506"
"Sat, Mar 23, 2019",Minnesota Timberwolves,112,Memphis Grizzlies,99,"16,977"
"Sat, Mar 23, 2019",Dallas Mavericks,126,Golden State Warriors,91,"19,596"
"Sat, Mar 23, 2019",Detroit Pistons,112,Portland Trail Blazers,117,"19,815"
"Sat, Mar 23, 2019",Phoenix Suns,103,Sacramento Kings,112,"17,583"
"Sun, Mar 24, 2019",Los Angeles Clippers,124,New York Knicks,113,"18,263"
"Sun, Mar 24, 2019",Cleveland Cavaliers,105,Milwaukee Bucks,127,"17,930"
"Sun, Mar 24, 2019",Denver Nuggets,88,Indiana Pacers,124,"17,923"
"Sun, Mar 24, 2019",Charlotte Hornets,115,Toronto Raptors,114,"19,800"
"Sun, Mar 24, 2019",Houston Rockets,113,New Orleans Pelicans,90,"17,048"
"Sun, Mar 24, 2019",San Antonio Spurs,115,Boston Celtics,96,"18,624"
"Sun, Mar 24, 2019",Detroit Pistons,114,Golden State Warriors,121,"19,596"
"Sun, Mar 24, 2019",Sacramento Kings,106,Los Angeles Lakers,111,"18,997"
"Mon, Mar 25, 2019",Philadelphia 76ers,98,Orlando Magic,119,"16,848"
"Mon, Mar 25, 2019",Oklahoma City Thunder,103,Memphis Grizzlies,115,"15,144"
"Mon, Mar 25, 2019",Phoenix Suns,92,Utah Jazz,125,"18,306"
"Mon, Mar 25, 2019",Brooklyn Nets,144,Portland Trail Blazers,148,"20,188"
"Tue, Mar 26, 2019",San Antonio Spurs,116,Charlotte Hornets,125,"14,227"
"Tue, Mar 26, 2019",Boston Celtics,116,Cleveland Cavaliers,106,"19,432"
"Tue, Mar 26, 2019",Orlando Magic,104,Miami Heat,99,"19,704"
"Tue, Mar 26, 2019",Chicago Bulls,103,Toronto Raptors,112,"19,800"
"Tue, Mar 26, 2019",Houston Rockets,94,Milwaukee Bucks,108,"17,910"
"Tue, Mar 26, 2019",Los Angeles Clippers,122,Minnesota Timberwolves,111,"13,176"
"Tue, Mar 26, 2019",Atlanta Hawks,130,New Orleans Pelicans,120,"14,751"
"Tue, Mar 26, 2019",Sacramento Kings,125,Dallas Mavericks,121,"20,168"
"Tue, Mar 26, 2019",Detroit Pistons,92,Denver Nuggets,95,"19,520"
"Tue, Mar 26, 2019",Washington Wizards,106,Los Angeles Lakers,124,"18,997"
"Wed, Mar 27, 2019",Portland Trail Blazers,118,Chicago Bulls,98,"20,227"
"Wed, Mar 27, 2019",Golden State Warriors,118,Memphis Grizzlies,103,"17,794"
"Wed, Mar 27, 2019",Indiana Pacers,99,Oklahoma City Thunder,107,"18,203"
"Wed, Mar 27, 2019",Washington Wizards,124,Phoenix Suns,121,"16,004"
"Wed, Mar 27, 2019",Los Angeles Lakers,100,Utah Jazz,115,"18,306"
"Thu, Mar 28, 2019",Orlando Magic,98,Detroit Pistons,115,"18,128"
"Thu, Mar 28, 2019",Brooklyn Nets,110,Philadelphia 76ers,123,"20,547"
"Thu, Mar 28, 2019",Dallas Mavericks,99,Miami Heat,105,"19,851"
"Thu, Mar 28, 2019",Toronto Raptors,117,New York Knicks,92,"19,812"
"Thu, Mar 28, 2019",Denver Nuggets,85,Houston Rockets,112,"18,055"
"Thu, Mar 28, 2019",Los Angeles Clippers,118,Milwaukee Bucks,128,"17,922"
"Thu, Mar 28, 2019",Sacramento Kings,118,New Orleans Pelicans,121,"13,976"
"Thu, Mar 28, 2019",Cleveland Cavaliers,110,San Antonio Spurs,116,"18,756"
"Fri, Mar 29, 2019",Indiana Pacers,112,Boston Celtics,114,"18,624"
"Fri, Mar 29, 2019",Portland Trail Blazers,118,Atlanta Hawks,98,"16,182"
"Fri, Mar 29, 2019",Golden State Warriors,130,Minnesota Timberwolves,131,"18,978"
"Fri, Mar 29, 2019",Denver Nuggets,115,Oklahoma City Thunder,105,"18,203"
"Fri, Mar 29, 2019",Washington Wizards,124,Utah Jazz,128,"18,306"
"Fri, Mar 29, 2019",Charlotte Hornets,115,Los Angeles Lakers,129,"18,997"
"Sat, Mar 30, 2019",Cleveland Cavaliers,108,Los Angeles Clippers,132,"16,439"
"Sat, Mar 30, 2019",Boston Celtics,96,Brooklyn Nets,110,"17,732"
"Sat, Mar 30, 2019",Sacramento Kings,108,Houston Rockets,119,"18,055"
"Sat, Mar 30, 2019",Portland Trail Blazers,90,Detroit Pistons,99,"18,592"
"Sat, Mar 30, 2019",Orlando Magic,121,Indiana Pacers,116,"17,923"
"Sat, Mar 30, 2019",Miami Heat,100,New York Knicks,92,"19,812"
"Sat, Mar 30, 2019",Toronto Raptors,124,Chicago Bulls,101,"21,238"
"Sat, Mar 30, 2019",Philadelphia 76ers,118,Minnesota Timberwolves,109,"18,978"
"Sat, Mar 30, 2019",Memphis Grizzlies,120,Phoenix Suns,115,"16,647"
"Sun, Mar 31, 2019",Milwaukee Bucks,135,Atlanta Hawks,136,"16,660"
"Sun, Mar 31, 2019",Dallas Mavericks,106,Oklahoma City Thunder,103,"18,203"
"Sun, Mar 31, 2019",Los Angeles Lakers,130,New Orleans Pelicans,102,"18,562"
"Sun, Mar 31, 2019",Sacramento Kings,113,San Antonio Spurs,106,"18,407"
"Sun, Mar 31, 2019",Washington Wizards,95,Denver Nuggets,90,"17,356"
"Sun, Mar 31, 2019",Charlotte Hornets,90,Golden State Warriors,137,"19,596"
"Sun, Mar 31, 2019",Memphis Grizzlies,96,Los Angeles Clippers,113,"16,740"
"Mon, Apr 1, 2019",Detroit Pistons,102,Indiana Pacers,111,"15,760"
"Mon, Apr 1, 2019",Miami Heat,105,Boston Celtics,110,"18,624"
"Mon, Apr 1, 2019",Milwaukee Bucks,131,Brooklyn Nets,121,"17,732"
"Mon, Apr 1, 2019",Chicago Bulls,105,New York Knicks,113,"18,874"
"Mon, Apr 1, 2019",Orlando Magic,109,Toronto Raptors,121,"19,800"
"Mon, Apr 1, 2019",Portland Trail Blazers,132,Minnesota Timberwolves,122,"11,209"
"Mon, Apr 1, 2019",Philadelphia 76ers,102,Dallas Mavericks,122,"19,645"
"Mon, Apr 1, 2019",Charlotte Hornets,102,Utah Jazz,111,"18,306"
"Mon, Apr 1, 2019",Cleveland Cavaliers,113,Phoenix Suns,122,"14,050"
"Tue, Apr 2, 2019",Los Angeles Lakers,103,Oklahoma City Thunder,119,"18,203"
"Tue, Apr 2, 2019",Atlanta Hawks,111,San Antonio Spurs,117,"18,354"
"Tue, Apr 2, 2019",Houston Rockets,130,Sacramento Kings,105,"17,583"
"Tue, Apr 2, 2019",Denver Nuggets,102,Golden State Warriors,116,"19,596"
"Wed, Apr 3, 2019",Indiana Pacers,108,Detroit Pistons,89,"18,984"
"Wed, Apr 3, 2019",New York Knicks,100,Orlando Magic,114,"18,846"
"Wed, Apr 3, 2019",Chicago Bulls,115,Washington Wizards,114,"16,616"
"Wed, Apr 3, 2019",Philadelphia 76ers,122,Atlanta Hawks,130,"16,638"
"Wed, Apr 3, 2019",Toronto Raptors,115,Brooklyn Nets,105,"17,732"
"Wed, Apr 3, 2019",Boston Celtics,112,Miami Heat,102,"19,904"
"Wed, Apr 3, 2019",Charlotte Hornets,115,New Orleans Pelicans,109,"16,844"
"Wed, Apr 3, 2019",Minnesota Timberwolves,110,Dallas Mavericks,108,"19,576"
"Wed, Apr 3, 2019",San Antonio Spurs,85,Denver Nuggets,113,"17,643"
"Wed, Apr 3, 2019",Utah Jazz,118,Phoenix Suns,97,"15,797"
"Wed, Apr 3, 2019",Memphis Grizzlies,89,Portland Trail Blazers,116,"19,608"
"Wed, Apr 3, 2019",Houston Rockets,135,Los Angeles Clippers,103,"17,593"
"Thu, Apr 4, 2019",Milwaukee Bucks,128,Philadelphia 76ers,122,"20,701"
"Thu, Apr 4, 2019",Cleveland Cavaliers,104,Sacramento Kings,117,"17,583"
"Thu, Apr 4, 2019",Golden State Warriors,108,Los Angeles Lakers,90,"18,997"
"Fri, Apr 5, 2019",Toronto Raptors,111,Charlotte Hornets,113,"18,684"
"Fri, Apr 5, 2019",Atlanta Hawks,113,Orlando Magic,149,"18,999"
"Fri, Apr 5, 2019",San Antonio Spurs,129,Washington Wizards,112,"20,409"
"Fri, Apr 5, 2019",New York Knicks,96,Houston Rockets,120,"18,055"
"Fri, Apr 5, 2019",Boston Celtics,117,Indiana Pacers,97,"17,371"
"Fri, Apr 5, 2019",Miami Heat,109,Minnesota Timberwolves,111,"17,763"
"Fri, Apr 5, 2019",Detroit Pistons,110,Oklahoma City Thunder,123,"18,203"
"Fri, Apr 5, 2019",Memphis Grizzlies,122,Dallas Mavericks,112,"20,111"
"Fri, Apr 5, 2019",Sacramento Kings,98,Utah Jazz,119,"18,306"
"Fri, Apr 5, 2019",New Orleans Pelicans,126,Phoenix Suns,133,"16,410"
"Fri, Apr 5, 2019",Portland Trail Blazers,110,Denver Nuggets,119,"19,928"
"Fri, Apr 5, 2019",Cleveland Cavaliers,114,Golden State Warriors,120,"19,596"
"Fri, Apr 5, 2019",Los Angeles Lakers,122,Los Angeles Clippers,117,"17,910"
"Sat, Apr 6, 2019",Brooklyn Nets,133,Milwaukee Bucks,128,"18,116"
"Sat, Apr 6, 2019",Philadelphia 76ers,116,Chicago Bulls,96,"21,059"
"Sun, Apr 7, 2019",Miami Heat,109,Toronto Raptors,117,"19,800"
"Sun, Apr 7, 2019",San Antonio Spurs,112,Cleveland Cavaliers,90,"19,432"
"Sun, Apr 7, 2019",Oklahoma City Thunder,132,Minnesota Timberwolves,126,"18,978"
"Sun, Apr 7, 2019",Charlotte Hornets,104,Detroit Pistons,91,"19,871"
"Sun, Apr 7, 2019",Brooklyn Nets,108,Indiana Pacers,96,"16,197"
"Sun, Apr 7, 2019",Dallas Mavericks,129,Memphis Grizzlies,127,"16,744"
"Sun, Apr 7, 2019",Phoenix Suns,113,Houston Rockets,149,"18,055"
"Sun, Apr 7, 2019",Atlanta Hawks,107,Milwaukee Bucks,115,"17,775"
"Sun, Apr 7, 2019",Orlando Magic,116,Boston Celtics,108,"18,624"
"Sun, Apr 7, 2019",Washington Wizards,110,New York Knicks,113,"19,812"
"Sun, Apr 7, 2019",Los Angeles Clippers,104,Golden State Warriors,131,"19,596"
"Sun, Apr 7, 2019",Denver Nuggets,108,Portland Trail Blazers,115,"19,890"
"Sun, Apr 7, 2019",New Orleans Pelicans,133,Sacramento Kings,129,"17,583"
"Sun, Apr 7, 2019",Utah Jazz,109,Los Angeles Lakers,113,"18,997"
"Tue, Apr 9, 2019",Charlotte Hornets,124,Cleveland Cavaliers,97,"19,432"
"Tue, Apr 9, 2019",Memphis Grizzlies,93,Detroit Pistons,100,"19,802"
"Tue, Apr 9, 2019",Boston Celtics,116,Washington Wizards,110,"20,409"
"Tue, Apr 9, 2019",Philadelphia 76ers,99,Miami Heat,122,"20,153"
"Tue, Apr 9, 2019",New York Knicks,96,Chicago Bulls,86,"21,350"
"Tue, Apr 9, 2019",Toronto Raptors,120,Minnesota Timberwolves,100,"16,119"
"Tue, Apr 9, 2019",Golden State Warriors,112,New Orleans Pelicans,103,"17,090"
"Tue, Apr 9, 2019",Phoenix Suns,109,Dallas Mavericks,120,"21,041"
"Tue, Apr 9, 2019",Denver Nuggets,108,Utah Jazz,118,"18,306"
"Tue, Apr 9, 2019",Houston Rockets,111,Oklahoma City Thunder,112,"18,203"
"Tue, Apr 9, 2019",Portland Trail Blazers,104,Los Angeles Lakers,101,"18,997"
"Wed, Apr 10, 2019",Indiana Pacers,135,Atlanta Hawks,134,"17,143"
"Wed, Apr 10, 2019",Miami Heat,94,Brooklyn Nets,113,"17,732"
"Wed, Apr 10, 2019",Orlando Magic,122,Charlotte Hornets,114,"17,719"
"Wed, Apr 10, 2019",Golden State Warriors,117,Memphis Grizzlies,132,"17,794"
"Wed, Apr 10, 2019",Oklahoma City Thunder,127,Milwaukee Bucks,116,"18,082"
"Wed, Apr 10, 2019",Detroit Pistons,115,New York Knicks,89,"19,812"
"Wed, Apr 10, 2019",Chicago Bulls,109,Philadelphia 76ers,125,"20,197"
"Wed, Apr 10, 2019",Dallas Mavericks,94,San Antonio Spurs,105,"18,629"
"Wed, Apr 10, 2019",Minnesota Timberwolves,95,Denver Nuggets,99,"16,332"
"Wed, Apr 10, 2019",Utah Jazz,137,Los Angeles Clippers,143,"17,655"
"Wed, Apr 10, 2019",Sacramento Kings,131,Portland Trail Blazers,136,"19,814"
"Sat, Apr 13, 2019",Brooklyn Nets,111,Philadelphia 76ers,102,"20,437"
"Sat, Apr 13, 2019",Orlando Magic,104,Toronto Raptors,101,"19,937"
"Sat, Apr 13, 2019",Los Angeles Clippers,104,Golden State Warriors,121,"19,596"
"Sat, Apr 13, 2019",San Antonio Spurs,101,Denver Nuggets,96,"19,520"
"Sun, Apr 14, 2019",Indiana Pacers,74,Boston Celtics,84,"18,624"
"Sun, Apr 14, 2019",Oklahoma City Thunder,99,Portland Trail Blazers,104,"19,886"
"Sun, Apr 14, 2019",Detroit Pistons,86,Milwaukee Bucks,121,"17,529"
"Sun, Apr 14, 2019",Utah Jazz,90,Houston Rockets,122,"18,055"
"Mon, Apr 15, 2019",Brooklyn Nets,123,Philadelphia 76ers,145,"20,591"
"Mon, Apr 15, 2019",Los Angeles Clippers,135,Golden State Warriors,131,"19,596"
"Tue, Apr 16, 2019",Orlando Magic,82,Toronto Raptors,111,"19,964"
"Tue, Apr 16, 2019",San Antonio Spurs,105,Denver Nuggets,114,"19,520"
"Tue, Apr 16, 2019",Oklahoma City Thunder,94,Portland Trail Blazers,114,"20,041"
"Wed, Apr 17, 2019",Indiana Pacers,91,Boston Celtics,99,"18,624"
"Wed, Apr 17, 2019",Detroit Pistons,99,Milwaukee Bucks,120,"17,513"
"Wed, Apr 17, 2019",Utah Jazz,98,Houston Rockets,118,"18,055"
"Thu, Apr 18, 2019",Philadelphia 76ers,131,Brooklyn Nets,115,"17,732"
"Thu, Apr 18, 2019",Denver Nuggets,108,San Antonio Spurs,118,"18,354"
"Thu, Apr 18, 2019",Golden State Warriors,132,Los Angeles Clippers,105,"19,068"
"Fri, Apr 19, 2019",Toronto Raptors,98,Orlando Magic,93,"19,367"
"Fri, Apr 19, 2019",Boston Celtics,104,Indiana Pacers,96,"17,923"
"Fri, Apr 19, 2019",Portland Trail Blazers,108,Oklahoma City Thunder,120,"18,203"
"Sat, Apr 20, 2019",Philadelphia 76ers,112,Brooklyn Nets,108,"17,732"
"Sat, Apr 20, 2019",Denver Nuggets,117,San Antonio Spurs,103,"18,354"
"Sat, Apr 20, 2019",Milwaukee Bucks,119,Detroit Pistons,103,"20,520"
"Sat, Apr 20, 2019",Houston Rockets,104,Utah Jazz,101,"18,306"
"Sun, Apr 21, 2019",Boston Celtics,110,Indiana Pacers,106,"17,923"
"Sun, Apr 21, 2019",Golden State Warriors,113,Los Angeles Clippers,105,"19,068"
"Sun, Apr 21, 2019",Toronto Raptors,107,Orlando Magic,85,"19,087"
"Sun, Apr 21, 2019",Portland Trail Blazers,111,Oklahoma City Thunder,98,"18,203"
"Mon, Apr 22, 2019",Milwaukee Bucks,127,Detroit Pistons,104,"20,332"
"Mon, Apr 22, 2019",Houston Rockets,91,Utah Jazz,107,"18,306"
"Tue, Apr 23, 2019",Orlando Magic,96,Toronto Raptors,115,"19,800"
"Tue, Apr 23, 2019",Brooklyn Nets,100,Philadelphia 76ers,122,"20,595"
"Tue, Apr 23, 2019",San Antonio Spurs,90,Denver Nuggets,108,"19,520"
"Tue, Apr 23, 2019",Oklahoma City Thunder,115,Portland Trail Blazers,118,"20,241"
"Wed, Apr 24, 2019",Utah Jazz,93,Houston Rockets,100,"18,055"
"Wed, Apr 24, 2019",Los Angeles Clippers,129,Golden State Warriors,121,"19,596"
"Thu, Apr 25, 2019",Denver Nuggets,103,San Antonio Spurs,120,"18,354"
"Fri, Apr 26, 2019",Golden State Warriors,129,Los Angeles Clippers,110,"19,068"
"Sat, Apr 27, 2019",Philadelphia 76ers,95,Toronto Raptors,108,"19,800"
"Sat, Apr 27, 2019",San Antonio Spurs,86,Denver Nuggets,90,"19,725"
"Sun, Apr 28, 2019",Boston Celtics,112,Milwaukee Bucks,90,"17,561"
"Sun, Apr 28, 2019",Houston Rockets,100,Golden State Warriors,104,"19,596"
"Mon, Apr 29, 2019",Philadelphia 76ers,94,Toronto Raptors,89,"19,800"
"Mon, Apr 29, 2019",Portland Trail Blazers,113,Denver Nuggets,121,"19,520"
"Tue, Apr 30, 2019",Boston Celtics,102,Milwaukee Bucks,123,"17,536"
"Tue, Apr 30, 2019",Houston Rockets,109,Golden State Warriors,115,"19,596"
"Wed, May 1, 2019",Portland Trail Blazers,97,Denver Nuggets,90,"19,520"
"Thu, May 2, 2019",Toronto Raptors,95,Philadelphia 76ers,116,"20,658"
"Fri, May 3, 2019",Milwaukee Bucks,123,Boston Celtics,116,"18,624"
"Fri, May 3, 2019",Denver Nuggets,137,Portland Trail Blazers,140,"20,193"
"Sat, May 4, 2019",Golden State Warriors,121,Houston Rockets,126,"18,169"
"Sun, May 5, 2019",Toronto Raptors,101,Philadelphia 76ers,96,"20,639"
"Sun, May 5, 2019",Denver Nuggets,116,Portland Trail Blazers,112,"20,146"
"Mon, May 6, 2019",Milwaukee Bucks,113,Boston Celtics,101,"18,624"
"Mon, May 6, 2019",Golden State Warriors,108,Houston Rockets,112,"18,055"
"Tue, May 7, 2019",Philadelphia 76ers,89,Toronto Raptors,125,"20,287"
"Tue, May 7, 2019",Portland Trail Blazers,98,Denver Nuggets,124,"19,520"
"Wed, May 8, 2019",Boston Celtics,91,Milwaukee Bucks,116,"17,701"
"Wed, May 8, 2019",Houston Rockets,99,Golden State Warriors,104,"19,596"
"Thu, May 9, 2019",Toronto Raptors,101,Philadelphia 76ers,112,"20,525"
"Thu, May 9, 2019",Denver Nuggets,108,Portland Trail Blazers,119,"20,022"
"Fri, May 10, 2019",Golden State Warriors,118,Houston Rockets,113,"18,055"
"Sun, May 12, 2019",Portland Trail Blazers,100,Denver Nuggets,96,"19,725"
"Sun, May 12, 2019",Philadelphia 76ers,90,Toronto Raptors,92,"20,917"
"Tue, May 14, 2019",Portland Trail Blazers,94,Golden State Warriors,116,"19,596"
"Wed, May 15, 2019",Toronto Raptors,100,Milwaukee Bucks,108,"17,345"
"Thu, May 16, 2019",Portland Trail Blazers,111,Golden State Warriors,114,"19,596"
"Fri, May 17, 2019",Toronto Raptors,103,Milwaukee Bucks,125,"17,570"
"Sat, May 18, 2019",Golden State Warriors,110,Portland Trail Blazers,99,"20,214"
"Sun, May 19, 2019",Milwaukee Bucks,112,Toronto Raptors,118,"19,923"
"Mon, May 20, 2019",Golden State Warriors,119,Portland Trail Blazers,117,"20,064"
"Tue, May 21, 2019",Milwaukee Bucks,102,Toronto Raptors,120,"20,237"
"Thu, May 23, 2019",Toronto Raptors,105,Milwaukee Bucks,99,"17,384"
"Sat, May 25, 2019",Milwaukee Bucks,94,Toronto Raptors,100,"20,478"
"Thu, May 30, 2019",Golden State Warriors,109,Toronto Raptors,118,"19,983"
"Sun, Jun 2, 2019",Golden State Warriors,109,Toronto Raptors,104,"20,014"
"Wed, Jun 5, 2019",Toronto Raptors,123,Golden State Warriors,109,"19,596"
"Fri, Jun 7, 2019",Toronto Raptors,105,Golden State Warriors,92,"19,596"
"Mon, Jun 10, 2019",Golden State Warriors,106,Toronto Raptors,105,"20,144"
"Thu, Jun 13, 2019",Toronto Raptors,114,Golden State Warriors,110,"19,596"
