Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.
"Mon, Feb 11, 2019",Charlotte Hornets,90,Indiana Pacers,99,"15,734"
"Mon, Feb 11, 2019",Brooklyn Nets,125,Toronto Raptors,127,"19,800"
"Mon, Feb 11, 2019",Milwaukee Bucks,112,Chicago Bulls,99,"18,833"
"Mon, Feb 11, 2019",Dallas Mavericks,104,Houston Rockets,120,"18,055"
"Mon, Feb 11, 2019",Los Angeles Clippers,120,Minnesota Timberwolves,130,"13,782"
"Mon, Feb 11, 2019",Portland Trail Blazers,111,Oklahoma City Thunder,120,"18,203"
"Mon, Feb 11, 2019",Miami Heat,87,Denver Nuggets,103,"18,378"
"Tue, Feb 12, 2019",Los Angeles Lakers,113,Atlanta Hawks,117,"16,824"
"Tue, Feb 12, 2019",San Antonio Spurs,108,Memphis Grizzlies,107,"13,788"
"Tue, Feb 12, 2019",Orlando Magic,118,New Orleans Pelicans,88,"15,733"
"Tue, Feb 12, 2019",Boston Celtics,112,Philadelphia 76ers,109,"20,582"
"Tue, Feb 12, 2019",Utah Jazz,108,Golden State Warriors,115,"19,596"
"Wed, Feb 13, 2019",Brooklyn Nets,148,Cleveland Cavaliers,139,"17,434"
"Wed, Feb 13, 2019",Milwaukee Bucks,106,Indiana Pacers,97,"17,311"
"Wed, Feb 13, 2019",Detroit Pistons,110,Boston Celtics,118,"18,624"
"Wed, Feb 13, 2019",Philadelphia 76ers,126,New York Knicks,111,"18,983"
"Wed, Feb 13, 2019",Washington Wizards,120,Toronto Raptors,129,"19,800"
"Wed, Feb 13, 2019",Memphis Grizzlies,110,Chicago Bulls,122,"19,114"
"Wed, Feb 13, 2019",Houston Rockets,111,Minnesota Timberwolves,121,"15,131"
"Wed, Feb 13, 2019",Miami Heat,112,Dallas Mavericks,101,"20,364"
"Wed, Feb 13, 2019",Sacramento Kings,118,Denver Nuggets,120,"17,938"
"Wed, Feb 13, 2019",Phoenix Suns,107,Los Angeles Clippers,134,"17,703"
"Wed, Feb 13, 2019",Golden State Warriors,107,Portland Trail Blazers,129,"19,549"
"Thu, Feb 14, 2019",Charlotte Hornets,89,Orlando Magic,127,"18,846"
"Thu, Feb 14, 2019",New York Knicks,106,Atlanta Hawks,91,"14,179"
"Thu, Feb 14, 2019",Oklahoma City Thunder,122,New Orleans Pelicans,131,"15,686"
"Thu, Feb 21, 2019",Phoenix Suns,98,Cleveland Cavaliers,111,"19,022"
"Thu, Feb 21, 2019",Miami Heat,102,Philadelphia 76ers,106,"20,505"
"Thu, Feb 21, 2019",Portland Trail Blazers,113,Brooklyn Nets,99,"17,732"
"Thu, Feb 21, 2019",Boston Celtics,97,Milwaukee Bucks,98,"17,926"
"Thu, Feb 21, 2019",Sacramento Kings,123,Golden State Warriors,125,"19,596"
"Thu, Feb 21, 2019",Houston Rockets,106,Los Angeles Lakers,111,"18,997"
"Fri, Feb 22, 2019",Washington Wizards,110,Charlotte Hornets,123,"15,572"
"Fri, Feb 22, 2019",New Orleans Pelicans,111,Indiana Pacers,126,"16,962"
"Fri, Feb 22, 2019",Chicago Bulls,110,Orlando Magic,109,"18,846"
"Fri, Feb 22, 2019",San Antonio Spurs,117,Toronto Raptors,120,"20,058"
"Fri, Feb 22, 2019",Detroit Pistons,125,Atlanta Hawks,122,"14,067"
"Fri, Feb 22, 2019",Minnesota Timberwolves,115,New York Knicks,104,"19,096"
"Fri, Feb 22, 2019",Los Angeles Clippers,112,Memphis Grizzlies,106,"16,444"
"Fri, Feb 22, 2019",Denver Nuggets,114,Dallas Mavericks,104,"20,382"
"Fri, Feb 22, 2019",Utah Jazz,147,Oklahoma City Thunder,148,"18,203"
"Sat, Feb 23, 2019",Portland Trail Blazers,130,Philadelphia 76ers,115,"20,619"
"Sat, Feb 23, 2019",Phoenix Suns,112,Atlanta Hawks,120,"15,214"
"Sat, Feb 23, 2019",Brooklyn Nets,117,Charlotte Hornets,115,"19,158"
"Sat, Feb 23, 2019",Memphis Grizzlies,107,Cleveland Cavaliers,112,"19,432"
"Sat, Feb 23, 2019",Los Angeles Lakers,115,New Orleans Pelicans,128,"18,626"
"Sat, Feb 23, 2019",Indiana Pacers,119,Washington Wizards,112,"19,648"
"Sat, Feb 23, 2019",Detroit Pistons,119,Miami Heat,96,"19,600"
"Sat, Feb 23, 2019",Boston Celtics,116,Chicago Bulls,126,"21,295"
"Sat, Feb 23, 2019",Sacramento Kings,119,Oklahoma City Thunder,116,"18,203"
"Sat, Feb 23, 2019",Houston Rockets,118,Golden State Warriors,112,"19,596"
"Sat, Feb 23, 2019",Minnesota Timberwolves,128,Milwaukee Bucks,140,"17,972"
"Sat, Feb 23, 2019",Dallas Mavericks,109,Utah Jazz,125,"18,306"
"Sun, Feb 24, 2019",Orlando Magic,113,Toronto Raptors,98,"19,800"
"Sun, Feb 24, 2019",Los Angeles Clippers,96,Denver Nuggets,123,"19,956"
"Sun, Feb 24, 2019",San Antonio Spurs,118,New York Knicks,130,"18,019"
"Mon, Feb 25, 2019",Golden State Warriors,121,Charlotte Hornets,110,"19,419"
"Mon, Feb 25, 2019",Portland Trail Blazers,123,Cleveland Cavaliers,110,"19,432"
"Mon, Feb 25, 2019",Indiana Pacers,109,Detroit Pistons,113,"15,321"
"Mon, Feb 25, 2019",San Antonio Spurs,85,Brooklyn Nets,101,"13,479"
"Mon, Feb 25, 2019",Phoenix Suns,124,Miami Heat,121,"19,600"
"Mon, Feb 25, 2019",Milwaukee Bucks,117,Chicago Bulls,106,"20,936"
"Mon, Feb 25, 2019",Atlanta Hawks,111,Houston Rockets,119,"18,055"
"Mon, Feb 25, 2019",Los Angeles Lakers,105,Memphis Grizzlies,110,"17,794"
"Mon, Feb 25, 2019",Sacramento Kings,105,Minnesota Timberwolves,112,"13,691"
"Mon, Feb 25, 2019",Philadelphia 76ers,111,New Orleans Pelicans,110,"17,194"
"Mon, Feb 25, 2019",Dallas Mavericks,112,Los Angeles Clippers,121,"19,068"
"Tue, Feb 26, 2019",Orlando Magic,103,New York Knicks,108,"17,833"
"Tue, Feb 26, 2019",Boston Celtics,95,Toronto Raptors,118,"19,800"
"Tue, Feb 26, 2019",Oklahoma City Thunder,112,Denver Nuggets,121,"18,378"
"Wed, Feb 27, 2019",Houston Rockets,118,Charlotte Hornets,113,"17,903"
"Wed, Feb 27, 2019",Minnesota Timberwolves,123,Atlanta Hawks,131,"14,101"
"Wed, Feb 27, 2019",Washington Wizards,125,Brooklyn Nets,116,"13,683"
"Wed, Feb 27, 2019",Golden State Warriors,125,Miami Heat,126,"19,647"
"Wed, Feb 27, 2019",Portland Trail Blazers,97,Boston Celtics,92,"18,624"
"Wed, Feb 27, 2019",Chicago Bulls,109,Memphis Grizzlies,107,"13,711"
"Wed, Feb 27, 2019",Indiana Pacers,101,Dallas Mavericks,110,"19,978"
"Wed, Feb 27, 2019",Detroit Pistons,93,San Antonio Spurs,105,"18,354"
"Wed, Feb 27, 2019",Los Angeles Clippers,105,Utah Jazz,111,"18,306"
"Wed, Feb 27, 2019",Milwaukee Bucks,141,Sacramento Kings,140,"17,583"
"Wed, Feb 27, 2019",New Orleans Pelicans,119,Los Angeles Lakers,125,"18,997"
"Thu, Feb 28, 2019",Minnesota Timberwolves,115,Indiana Pacers,122,"17,003"
"Thu, Feb 28, 2019",Golden State Warriors,96,Orlando Magic,103,"18,846"
"Thu, Feb 28, 2019",Cleveland Cavaliers,125,New York Knicks,118,"17,573"
"Thu, Feb 28, 2019",Miami Heat,118,Houston Rockets,121,"18,119"
"Thu, Feb 28, 2019",Philadelphia 76ers,108,Oklahoma City Thunder,104,"18,203"
"Thu, Feb 28, 2019",Utah Jazz,111,Denver Nuggets,104,"19,520"
"Fri, Mar 1, 2019",Chicago Bulls,168,Atlanta Hawks,161,"15,267"
"Fri, Mar 1, 2019",Charlotte Hornets,123,Brooklyn Nets,112,"15,578"
"Fri, Mar 1, 2019",Washington Wizards,96,Boston Celtics,107,"18,624"
"Fri, Mar 1, 2019",Portland Trail Blazers,117,Toronto Raptors,119,"19,800"
"Fri, Mar 1, 2019",New Orleans Pelicans,130,Phoenix Suns,116,"14,123"
"Fri, Mar 1, 2019",Los Angeles Clippers,116,Sacramento Kings,109,"17,583"
"Fri, Mar 1, 2019",Milwaukee Bucks,131,Los Angeles Lakers,120,"18,997"
"Sat, Mar 2, 2019",Detroit Pistons,129,Cleveland Cavaliers,93,"19,432"
"Sat, Mar 2, 2019",Orlando Magic,117,Indiana Pacers,112,"17,923"
"Sat, Mar 2, 2019",Brooklyn Nets,88,Miami Heat,117,"19,600"
"Sat, Mar 2, 2019",Memphis Grizzlies,111,Dallas Mavericks,81,"20,233"
"Sat, Mar 2, 2019",Golden State Warriors,120,Philadelphia 76ers,117,"20,624"
"Sat, Mar 2, 2019",Oklahoma City Thunder,102,San Antonio Spurs,116,"18,439"
"Sat, Mar 2, 2019",New Orleans Pelicans,120,Denver Nuggets,112,"19,978"
"Sat, Mar 2, 2019",Los Angeles Lakers,109,Phoenix Suns,118,"18,055"
"Sat, Mar 2, 2019",Milwaukee Bucks,111,Utah Jazz,115,"18,306"
"Sun, Mar 3, 2019",Portland Trail Blazers,118,Charlotte Hornets,108,"18,355"
"Sun, Mar 3, 2019",Houston Rockets,115,Boston Celtics,104,"18,624"
"Sun, Mar 3, 2019",Atlanta Hawks,123,Chicago Bulls,118,"20,526"
"Sun, Mar 3, 2019",New York Knicks,107,Los Angeles Clippers,128,"19,068"
"Sun, Mar 3, 2019",Orlando Magic,93,Cleveland Cavaliers,107,"19,432"
"Sun, Mar 3, 2019",Toronto Raptors,107,Detroit Pistons,112,"19,161"
"Sun, Mar 3, 2019",Minnesota Timberwolves,121,Washington Wizards,135,"17,869"
"Sun, Mar 3, 2019",Memphis Grizzlies,95,Oklahoma City Thunder,99,"18,203"
"Mon, Mar 4, 2019",Dallas Mavericks,88,Brooklyn Nets,127,"17,064"
"Mon, Mar 4, 2019",Atlanta Hawks,113,Miami Heat,114,"19,600"
"Mon, Mar 4, 2019",Denver Nuggets,103,San Antonio Spurs,104,"18,354"
"Mon, Mar 4, 2019",Milwaukee Bucks,105,Phoenix Suns,114,"18,055"
"Mon, Mar 4, 2019",New Orleans Pelicans,115,Utah Jazz,112,"18,306"
"Mon, Mar 4, 2019",New York Knicks,108,Sacramento Kings,115,"17,034"
"Mon, Mar 4, 2019",Los Angeles Clippers,113,Los Angeles Lakers,105,"18,997"
"Tue, Mar 5, 2019",Chicago Bulls,96,Indiana Pacers,105,"15,753"
"Tue, Mar 5, 2019",Orlando Magic,106,Philadelphia 76ers,114,"20,379"
"Tue, Mar 5, 2019",Portland Trail Blazers,111,Memphis Grizzlies,120,"13,801"
"Tue, Mar 5, 2019",Oklahoma City Thunder,120,Minnesota Timberwolves,131,"15,728"
"Tue, Mar 5, 2019",Houston Rockets,107,Toronto Raptors,95,"19,800"
"Tue, Mar 5, 2019",Boston Celtics,128,Golden State Warriors,95,"19,596"
"Wed, Mar 6, 2019",Miami Heat,91,Charlotte Hornets,84,"18,137"
"Wed, Mar 6, 2019",Minnesota Timberwolves,114,Detroit Pistons,131,"15,240"
"Wed, Mar 6, 2019",Dallas Mavericks,123,Washington Wizards,132,"16,867"
"Wed, Mar 6, 2019",San Antonio Spurs,111,Atlanta Hawks,104,"15,208"
"Wed, Mar 6, 2019",Cleveland Cavaliers,107,Brooklyn Nets,113,"14,177"
"Wed, Mar 6, 2019",Philadelphia 76ers,107,Chicago Bulls,108,"19,927"
"Wed, Mar 6, 2019",Utah Jazz,114,New Orleans Pelicans,104,"14,681"
